
Table 1 : anger N =    941 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Full_model    Without_FC    0.768  0.770  0.993  | [-0.0071  -0.0021   0.0029]  
Full_model    Without_FC    0.768  0.765  0.992  | [-0.0014   0.0037   0.0087]  
Full_model    Without_FC    0.772  0.771  0.994  | [-0.0032   0.0016   0.0064]  
Full_model    Without_FC    0.766  0.769  0.994  | [-0.0075  -0.0029   0.0015]  
Full_model    Without_FC    0.773  0.773  0.994  | [-0.0049  -0.0000   0.0045]  
Full_model    Without_FC    0.770  0.770  0.995  | [-0.0045  -0.0003   0.0040]  
Full_model    Without_FC    0.769  0.767  0.993  | [-0.0035   0.0013   0.0063]  
Full_model    Without_FC    0.773  0.774  0.993  | [-0.0064  -0.0013   0.0038]  
Full_model    Without_FC    0.771  0.769  0.995  | [-0.0025   0.0015   0.0055]  
Full_model    Without_FC    0.773  0.772  0.993  | [-0.0047   0.0006   0.0059]  
Full_model    Without_FC    0.775  0.773  0.993  | [-0.0037   0.0012   0.0061]  
Full_model    Without_FC    0.771  0.769  0.994  | [-0.0026   0.0018   0.0062]  
Full_model    Without_FC    0.769  0.769  0.993  | [-0.0038   0.0008   0.0053]  
Full_model    Without_FC    0.770  0.767  0.994  | [-0.0015   0.0033   0.0084]  
Full_model    Without_FC    0.769  0.770  0.993  | [-0.0059  -0.0008   0.0040]  
Full_model    Without_FC    0.776  0.770  0.994  | [ 0.0016   0.0059   0.0105]  
Full_model    Without_FC    0.769  0.766  0.994  | [-0.0022   0.0021   0.0066]  
Full_model    Without_FC    0.772  0.772  0.993  | [-0.0054  -0.0006   0.0040]  
Full_model    Without_FC    0.770  0.769  0.995  | [-0.0029   0.0014   0.0053]  
Full_model    Without_FC    0.769  0.766  0.994  | [-0.0011   0.0033   0.0076]  
Full_model    Without_CNN   0.768  0.758  0.961  | [-0.0019   0.0100   0.0222]  
Full_model    Without_CNN   0.768  0.747  0.959  | [ 0.0105   0.0215   0.0324]  
Full_model    Without_CNN   0.772  0.756  0.958  | [ 0.0048   0.0162   0.0280]  
Full_model    Without_CNN   0.766  0.752  0.961  | [ 0.0028   0.0141   0.0254]  
Full_model    Without_CNN   0.773  0.756  0.959  | [ 0.0052   0.0167   0.0284]  
Full_model    Without_CNN   0.770  0.759  0.962  | [ 0.0005   0.0114   0.0228]  
Full_model    Without_CNN   0.769  0.757  0.957  | [-0.0004   0.0115   0.0224]  
Full_model    Without_CNN   0.773  0.759  0.963  | [ 0.0032   0.0140   0.0249]  
Full_model    Without_CNN   0.771  0.755  0.961  | [ 0.0037   0.0154   0.0268]  
Full_model    Without_CNN   0.773  0.759  0.959  | [ 0.0028   0.0134   0.0246]  
Full_model    Without_CNN   0.775  0.757  0.962  | [ 0.0073   0.0178   0.0292]  
Full_model    Without_CNN   0.771  0.756  0.962  | [ 0.0041   0.0148   0.0261]  
