  Emotion       Cond1         Cond2    Min1   Mea1   Max1  |    Min2  Mean2   Max2  |   Min12  Mea12  Max12  |    Min-    Mean-     Max-  |   MinMe   MeanMe    MaxMe  |    Min+    Mean+     Max+  | #sig
    anger Full_model    Without_FC    0.766  0.771  0.776  |   0.765  0.770  0.774  |   0.992  0.994  0.995  | -0.0075  -0.0037   0.0016  | -0.0029   0.0010   0.0059  |  0.0015   0.0057   0.0105 |    1
    anger Full_model    Without_CNN   0.766  0.771  0.776  |   0.747  0.755  0.759  |   0.957  0.960  0.963  | -0.0019   0.0039   0.0105  |  0.0100   0.0151   0.0215  |  0.0222   0.0265   0.0328 |   18
    anger Full_model    Without_LE    0.766  0.771  0.776  |   0.687  0.695  0.701  |   0.899  0.906  0.914  |  0.0484   0.0560   0.0616  |  0.0681   0.0757   0.0823  |  0.0897   0.0975   0.1072 |   20
    anger Without_FC    Without_CNN   0.765  0.770  0.774  |   0.747  0.755  0.759  |   0.956  0.959  0.963  | -0.0018   0.0028   0.0067  |  0.0102   0.0141   0.0180  |  0.0219   0.0255   0.0303 |   18
    anger Without_FC    Without_LE    0.765  0.770  0.774  |   0.687  0.695  0.701  |   0.899  0.907  0.913  |  0.0483   0.0553   0.0623  |  0.0672   0.0747   0.0811  |  0.0880   0.0965   0.1053 |   20
    anger Without_CNN   Without_LE    0.747  0.755  0.759  |   0.687  0.695  0.701  |   0.814  0.832  0.843  |  0.0243   0.0362   0.0451  |  0.0493   0.0606   0.0707  |  0.0764   0.0868   0.1022 |   20
     fear Full_model    Without_FC    0.790  0.795  0.800  |   0.787  0.794  0.799  |   0.990  0.993  0.994  | -0.0086  -0.0035  -0.0000  | -0.0042   0.0008   0.0044  |  0.0001   0.0051   0.0090 |    0
     fear Full_model    Without_CNN   0.790  0.795  0.800  |   0.767  0.772  0.778  |   0.947  0.952  0.955  |  0.0083   0.0125   0.0188  |  0.0186   0.0234   0.0293  |  0.0299   0.0350   0.0410 |   20
     fear Full_model    Without_LE    0.790  0.795  0.800  |   0.738  0.747  0.756  |   0.909  0.916  0.923  |  0.0243   0.0315   0.0386  |  0.0399   0.0481   0.0562  |  0.0565   0.0660   0.0765 |   20
     fear Without_FC    Without_CNN   0.787  0.794  0.799  |   0.767  0.772  0.778  |   0.950  0.953  0.957  |  0.0065   0.0116   0.0176  |  0.0185   0.0227   0.0291  |  0.0301   0.0342   0.0411 |   20
     fear Without_FC    Without_LE    0.787  0.794  0.799  |   0.738  0.747  0.756  |   0.909  0.916  0.922  |  0.0214   0.0304   0.0388  |  0.0377   0.0473   0.0574  |  0.0547   0.0652   0.0768 |   20
     fear Without_CNN   Without_LE    0.767  0.772  0.778  |   0.738  0.747  0.756  |   0.820  0.828  0.840  | -0.0092   0.0015   0.0101  |  0.0128   0.0247   0.0326  |  0.0361   0.0486   0.0576 |   14
      joy Full_model    Without_FC    0.795  0.802  0.806  |   0.796  0.802  0.806  |   0.993  0.994  0.995  | -0.0100  -0.0049   0.0006  | -0.0049  -0.0004   0.0054  | -0.0006   0.0041   0.0105 |    3
      joy Full_model    Without_CNN   0.795  0.802  0.806  |   0.781  0.791  0.796  |   0.962  0.965  0.969  | -0.0052  -0.0003   0.0072  |  0.0063   0.0103   0.0183  |  0.0169   0.0215   0.0304 |    9
      joy Full_model    Without_LE    0.795  0.802  0.806  |   0.691  0.710  0.720  |   0.878  0.890  0.899  |  0.0620   0.0694   0.0814  |  0.0842   0.0921   0.1066  |  0.1113   0.1204   0.1395 |   20
      joy Without_FC    Without_CNN   0.796  0.802  0.806  |   0.781  0.791  0.796  |   0.961  0.965  0.968  | -0.0048   0.0002   0.0068  |  0.0061   0.0107   0.0174  |  0.0175   0.0219   0.0289 |   10
      joy Without_FC    Without_LE    0.796  0.802  0.806  |   0.691  0.710  0.720  |   0.883  0.890  0.896  |  0.0622   0.0696   0.0832  |  0.0841   0.0925   0.1083  |  0.1102   0.1206   0.1397 |   20
      joy Without_CNN   Without_LE    0.781  0.791  0.796  |   0.691  0.710  0.720  |   0.801  0.815  0.828  |  0.0419   0.0538   0.0659  |  0.0694   0.0818   0.0965  |  0.1013   0.1144   0.1330 |   20
  sadness Full_model    Without_FC    0.760  0.765  0.772  |   0.757  0.763  0.770  |   0.992  0.993  0.994  | -0.0100  -0.0039   0.0012  | -0.0044   0.0015   0.0059  |  0.0009   0.0070   0.0123 |    1
  sadness Full_model    Without_CNN   0.760  0.765  0.772  |   0.711  0.720  0.735  |   0.942  0.949  0.956  |  0.0201   0.0280   0.0349  |  0.0350   0.0443   0.0510  |  0.0545   0.0658   0.0750 |   20
  sadness Full_model    Without_LE    0.760  0.765  0.772  |   0.690  0.699  0.712  |   0.880  0.887  0.892  |  0.0347   0.0425   0.0517  |  0.0591   0.0662   0.0754  |  0.0848   0.0932   0.1035 |   20
  sadness Without_FC    Without_CNN   0.757  0.763  0.770  |   0.711  0.720  0.735  |   0.941  0.949  0.955  |  0.0199   0.0268   0.0378  |  0.0349   0.0428   0.0553  |  0.0567   0.0645   0.0794 |   20
  sadness Without_FC    Without_LE    0.757  0.763  0.770  |   0.690  0.699  0.712  |   0.879  0.887  0.894  |  0.0328   0.0408   0.0499  |  0.0562   0.0647   0.0734  |  0.0828   0.0916   0.1022 |   20
  sadness Without_CNN   Without_LE    0.711  0.720  0.735  |   0.690  0.699  0.712  |   0.774  0.782  0.796  | -0.0290  -0.0152  -0.0038  |  0.0090   0.0219   0.0332  |  0.0436   0.0578   0.0701 |    0
