
Table 1 : anger Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without FC    0.768  0.770  0.993  | -0.0021   0.4220  
Full model    Without FC    0.768  0.765  0.992  |  0.0037   0.1599  
Full model    Without FC    0.772  0.771  0.994  |  0.0016   0.5467  
Full model    Without FC    0.766  0.769  0.994  | -0.0029   0.2122  
Full model    Without FC    0.773  0.773  0.994  | -0.0000   0.9871  
Full model    Without FC    0.770  0.770  0.995  | -0.0003   0.9070  
Full model    Without FC    0.769  0.767  0.993  |  0.0013   0.6129  
Full model    Without FC    0.773  0.774  0.993  | -0.0013   0.6079  
Full model    Without FC    0.771  0.769  0.995  |  0.0015   0.4568  
Full model    Without FC    0.773  0.772  0.993  |  0.0006   0.8278  
Full model    Without FC    0.775  0.773  0.993  |  0.0012   0.6397  
Full model    Without FC    0.771  0.769  0.994  |  0.0018   0.4711  
Full model    Without FC    0.769  0.769  0.993  |  0.0008   0.7273  
Full model    Without FC    0.770  0.767  0.994  |  0.0033   0.2005  
Full model    Without FC    0.769  0.770  0.993  | -0.0008   0.7600  
Full model    Without FC    0.776  0.770  0.994  |  0.0059   0.0103  
Full model    Without FC    0.769  0.766  0.994  |  0.0021   0.3550  
Full model    Without FC    0.772  0.772  0.993  | -0.0006   0.8058  
Full model    Without FC    0.770  0.769  0.995  |  0.0014   0.5052  
Full model    Without FC    0.769  0.766  0.994  |  0.0033   0.1549  
Full model    Without CNN   0.768  0.758  0.961  |  0.0100   0.1066  
Full model    Without CNN   0.768  0.747  0.959  |  0.0215   0.0004  
Full model    Without CNN   0.772  0.756  0.958  |  0.0162   0.0062  
Full model    Without CNN   0.766  0.752  0.961  |  0.0141   0.0137  
Full model    Without CNN   0.773  0.756  0.959  |  0.0167   0.0061  
Full model    Without CNN   0.770  0.759  0.962  |  0.0114   0.0532  
Full model    Without CNN   0.769  0.757  0.957  |  0.0115   0.0555  
Full model    Without CNN   0.773  0.759  0.963  |  0.0140   0.0103  
Full model    Without CNN   0.771  0.755  0.961  |  0.0154   0.0130  
Full model    Without CNN   0.773  0.759  0.959  |  0.0134   0.0167  
Full model    Without CNN   0.775  0.757  0.962  |  0.0178   0.0017  
Full model    Without CNN   0.771  0.756  0.962  |  0.0148   0.0081  
Full model    Without CNN   0.769  0.756  0.961  |  0.0131   0.0170  
Full model    Without CNN   0.770  0.755  0.960  |  0.0152   0.0062  
Full model    Without CNN   0.769  0.753  0.958  |  0.0153   0.0127  
Full model    Without CNN   0.776  0.757  0.958  |  0.0187   0.0023  
Full model    Without CNN   0.769  0.748  0.959  |  0.0201   0.0015  
Full model    Without CNN   0.772  0.757  0.961  |  0.0151   0.0074  
Full model    Without CNN   0.770  0.757  0.961  |  0.0130   0.0311  
Full model    Without CNN   0.769  0.754  0.958  |  0.0154   0.0104  
Full model    Without LE    0.768  0.695  0.907  |  0.0737   0.0001  
Full model    Without LE    0.768  0.691  0.905  |  0.0777   0.0001  
Full model    Without LE    0.772  0.694  0.908  |  0.0783   0.0001  
Full model    Without LE    0.766  0.698  0.914  |  0.0681   0.0001  
Full model    Without LE    0.773  0.697  0.908  |  0.0756   0.0001  
Full model    Without LE    0.770  0.689  0.907  |  0.0808   0.0001  
Full model    Without LE    0.769  0.687  0.899  |  0.0822   0.0001  
Full model    Without LE    0.773  0.694  0.904  |  0.0789   0.0001  
Full model    Without LE    0.771  0.701  0.908  |  0.0692   0.0001  
Full model    Without LE    0.773  0.693  0.905  |  0.0800   0.0001  
Full model    Without LE    0.775  0.700  0.901  |  0.0745   0.0001  
Full model    Without LE    0.771  0.692  0.902  |  0.0793   0.0001  
Full model    Without LE    0.769  0.698  0.907  |  0.0715   0.0001  
Full model    Without LE    0.770  0.692  0.903  |  0.0774   0.0001  
Full model    Without LE    0.769  0.697  0.909  |  0.0721   0.0001  
Full model    Without LE    0.776  0.701  0.905  |  0.0746   0.0001  
Full model    Without LE    0.769  0.699  0.906  |  0.0693   0.0001  
Full model    Without LE    0.772  0.693  0.909  |  0.0786   0.0001  
Full model    Without LE    0.770  0.700  0.910  |  0.0703   0.0001  
Full model    Without LE    0.769  0.687  0.906  |  0.0823   0.0001  
Without FC    Without CNN   0.770  0.758  0.958  |  0.0121   0.0412  
Without FC    Without CNN   0.765  0.747  0.957  |  0.0178   0.0031  
Without FC    Without CNN   0.771  0.756  0.959  |  0.0147   0.0128  
Without FC    Without CNN   0.769  0.752  0.962  |  0.0170   0.0029  
Without FC    Without CNN   0.773  0.756  0.957  |  0.0167   0.0058  
Without FC    Without CNN   0.770  0.759  0.962  |  0.0117   0.0513  
Without FC    Without CNN   0.767  0.757  0.958  |  0.0102   0.1027  
Without FC    Without CNN   0.774  0.759  0.963  |  0.0153   0.0041  
Without FC    Without CNN   0.769  0.755  0.958  |  0.0138   0.0271  
Without FC    Without CNN   0.772  0.759  0.959  |  0.0128   0.0260  
Without FC    Without CNN   0.773  0.757  0.961  |  0.0166   0.0040  
Without FC    Without CNN   0.769  0.756  0.960  |  0.0130   0.0235  
Without FC    Without CNN   0.769  0.756  0.962  |  0.0123   0.0257  
Without FC    Without CNN   0.767  0.755  0.959  |  0.0118   0.0444  
Without FC    Without CNN   0.770  0.753  0.956  |  0.0160   0.0101  
Without FC    Without CNN   0.770  0.757  0.958  |  0.0128   0.0262  
Without FC    Without CNN   0.766  0.748  0.959  |  0.0180   0.0047  
Without FC    Without CNN   0.772  0.757  0.961  |  0.0156   0.0034  
Without FC    Without CNN   0.769  0.757  0.959  |  0.0116   0.0624  
Without FC    Without CNN   0.766  0.754  0.959  |  0.0121   0.0370  
Without FC    Without LE    0.770  0.695  0.909  |  0.0759   0.0001  
Without FC    Without LE    0.765  0.691  0.901  |  0.0740   0.0001  
Without FC    Without LE    0.771  0.694  0.904  |  0.0768   0.0001  
Without FC    Without LE    0.769  0.698  0.913  |  0.0710   0.0001  
Without FC    Without LE    0.773  0.697  0.911  |  0.0756   0.0001  
Without FC    Without LE    0.770  0.689  0.908  |  0.0811   0.0001  
Without FC    Without LE    0.767  0.687  0.899  |  0.0809   0.0001  
Without FC    Without LE    0.774  0.694  0.905  |  0.0802   0.0001  
Without FC    Without LE    0.769  0.701  0.909  |  0.0677   0.0001  
Without FC    Without LE    0.772  0.693  0.904  |  0.0793   0.0001  
Without FC    Without LE    0.773  0.700  0.904  |  0.0733   0.0001  
Without FC    Without LE    0.769  0.692  0.903  |  0.0775   0.0001  
Without FC    Without LE    0.769  0.698  0.911  |  0.0707   0.0001  
Without FC    Without LE    0.767  0.692  0.909  |  0.0741   0.0001  
Without FC    Without LE    0.770  0.697  0.910  |  0.0729   0.0001  
Without FC    Without LE    0.770  0.701  0.905  |  0.0687   0.0001  
Without FC    Without LE    0.766  0.699  0.908  |  0.0672   0.0001  
Without FC    Without LE    0.772  0.693  0.912  |  0.0792   0.0001  
Without FC    Without LE    0.769  0.700  0.908  |  0.0689   0.0001  
Without FC    Without LE    0.766  0.687  0.906  |  0.0790   0.0001  
Without CNN   Without LE    0.758  0.695  0.837  |  0.0638   0.0001  
Without CNN   Without LE    0.747  0.691  0.826  |  0.0562   0.0001  
Without CNN   Without LE    0.756  0.694  0.830  |  0.0621   0.0001  
Without CNN   Without LE    0.752  0.698  0.843  |  0.0540   0.0001  
Without CNN   Without LE    0.756  0.697  0.832  |  0.0590   0.0001  
Without CNN   Without LE    0.759  0.689  0.835  |  0.0694   0.0001  
Without CNN   Without LE    0.757  0.687  0.814  |  0.0707   0.0001  
Without CNN   Without LE    0.759  0.694  0.834  |  0.0649   0.0001  
Without CNN   Without LE    0.755  0.701  0.836  |  0.0538   0.0001  
Without CNN   Without LE    0.759  0.693  0.833  |  0.0665   0.0001  
Without CNN   Without LE    0.757  0.700  0.829  |  0.0567   0.0001  
Without CNN   Without LE    0.756  0.692  0.829  |  0.0645   0.0001  
Without CNN   Without LE    0.756  0.698  0.842  |  0.0584   0.0001  
Without CNN   Without LE    0.755  0.692  0.827  |  0.0623   0.0001  
Without CNN   Without LE    0.753  0.697  0.834  |  0.0568   0.0001  
Without CNN   Without LE    0.757  0.701  0.826  |  0.0560   0.0001  
Without CNN   Without LE    0.748  0.699  0.837  |  0.0493   0.0004  
Without CNN   Without LE    0.757  0.693  0.839  |  0.0636   0.0001  
Without CNN   Without LE    0.757  0.700  0.836  |  0.0573   0.0001  
Without CNN   Without LE    0.754  0.687  0.832  |  0.0670   0.0001  

Table 2 : fear Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without FC    0.793  0.792  0.994  |  0.0001   0.9559  
Full model    Without FC    0.800  0.797  0.993  |  0.0025   0.2831  
