
Table 1 : anger Niter = 10000 Alpha = 0.050000 
  Emotion       Cond1         Cond2    Min1   Mea1   Max1  |    Min2  Mean2   Max2  |   Min12  Mea12  Max12  | MinDiff  MeanDif  MaxDiff  |    Minp    Meanp     Maxp | #sig
    anger Full model    Without FC    0.766  0.771  0.776  |   0.765  0.770  0.774  |   0.992  0.994  0.995  | -0.0029   0.0010   0.0059  |  0.0103   0.5185   0.9871 |   1
    anger Full model    Without CNN   0.766  0.771  0.776  |   0.747  0.755  0.759  |   0.957  0.960  0.963  |  0.0100   0.0151   0.0215  |  0.0004   0.0190   0.1066 |  17
    anger Full model    Without LE    0.766  0.771  0.776  |   0.687  0.695  0.701  |   0.899  0.906  0.914  |  0.0681   0.0757   0.0823  |  0.0001   0.0001   0.0001 |  20
    anger Without FC    Without CNN   0.765  0.770  0.774  |   0.747  0.755  0.759  |   0.956  0.959  0.963  |  0.0102   0.0141   0.0180  |  0.0029   0.0259   0.1027 |  17
    anger Without FC    Without LE    0.765  0.770  0.774  |   0.687  0.695  0.701  |   0.899  0.907  0.913  |  0.0672   0.0747   0.0811  |  0.0001   0.0001   0.0001 |  20
    anger Without CNN   Without LE    0.747  0.755  0.759  |   0.687  0.695  0.701  |   0.814  0.832  0.843  |  0.0493   0.0606   0.0707  |  0.0001   0.0001   0.0004 |  20

Table 2 : fear Niter = 10000 Alpha = 0.050000 
  Emotion       Cond1         Cond2    Min1   Mea1   Max1  |    Min2  Mean2   Max2  |   Min12  Mea12  Max12  | MinDiff  MeanDif  MaxDiff  |    Minp    Meanp     Maxp | #sig
     fear Full model    Without FC    0.790  0.795  0.800  |   0.787  0.794  0.799  |   0.990  0.993  0.994  | -0.0042   0.0008   0.0044  |  0.0543   0.4984   0.9559 |   0
     fear Full model    Without CNN   0.790  0.795  0.800  |   0.767  0.772  0.778  |   0.947  0.952  0.955  |  0.0186   0.0234   0.0293  |  0.0001   0.0002   0.0007 |  20
     fear Full model    Without LE    0.790  0.795  0.800  |   0.738  0.747  0.756  |   0.909  0.916  0.923  |  0.0399   0.0481   0.0562  |  0.0001   0.0001   0.0001 |  20
     fear Without FC    Without CNN   0.787  0.794  0.799  |   0.767  0.772  0.778  |   0.950  0.953  0.957  |  0.0185   0.0227   0.0291  |  0.0001   0.0004   0.0027 |  20
     fear Without FC    Without LE    0.787  0.794  0.799  |   0.738  0.747  0.756  |   0.909  0.916  0.922  |  0.0377   0.0473   0.0574  |  0.0001   0.0001   0.0001 |  20
     fear Without CNN   Without LE    0.767  0.772  0.778  |   0.738  0.747  0.756  |   0.820  0.828  0.840  |  0.0128   0.0247   0.0326  |  0.0063   0.0592   0.2672 |  13

Table 3 : joy Niter = 10000 Alpha = 0.050000 
  Emotion       Cond1         Cond2    Min1   Mea1   Max1  |    Min2  Mean2   Max2  |   Min12  Mea12  Max12  | MinDiff  MeanDif  MaxDiff  |    Minp    Meanp     Maxp | #sig
      joy Full model    Without FC    0.795  0.802  0.806  |   0.796  0.802  0.806  |   0.993  0.994  0.995  | -0.0049  -0.0004   0.0054  |  0.0315   0.4807   0.9779 |   3
      joy Full model    Without CNN   0.795  0.802  0.806  |   0.781  0.791  0.796  |   0.962  0.965  0.969  |  0.0063   0.0103   0.0183  |  0.0032   0.1019   0.2930 |   7
      joy Full model    Without LE    0.795  0.802  0.806  |   0.691  0.710  0.720  |   0.878  0.890  0.899  |  0.0842   0.0921   0.1066  |  0.0001   0.0001   0.0001 |  20
      joy Without FC    Without CNN   0.796  0.802  0.806  |   0.781  0.791  0.796  |   0.961  0.965  0.968  |  0.0061   0.0107   0.0174  |  0.0020   0.0923   0.3341 |   5
      joy Without FC    Without LE    0.796  0.802  0.806  |   0.691  0.710  0.720  |   0.883  0.890  0.896  |  0.0841   0.0925   0.1083  |  0.0001   0.0001   0.0001 |  20
      joy Without CNN   Without LE    0.781  0.791  0.796  |   0.691  0.710  0.720  |   0.801  0.815  0.828  |  0.0694   0.0818   0.0965  |  0.0001   0.0001   0.0001 |  20

Table 4 : sadness Niter = 10000 Alpha = 0.050000 
  Emotion       Cond1         Cond2    Min1   Mea1   Max1  |    Min2  Mean2   Max2  |   Min12  Mea12  Max12  | MinDiff  MeanDif  MaxDiff  |    Minp    Meanp     Maxp | #sig
  sadness Full model    Without FC    0.760  0.765  0.772  |   0.757  0.763  0.770  |   0.992  0.993  0.994  | -0.0044   0.0015   0.0059  |  0.0153   0.4922   0.9904 |   1
  sadness Full model    Without CNN   0.760  0.765  0.772  |   0.711  0.720  0.735  |   0.942  0.949  0.956  |  0.0350   0.0443   0.0510  |  0.0001   0.0001   0.0003 |  20
  sadness Full model    Without LE    0.760  0.765  0.772  |   0.690  0.699  0.712  |   0.880  0.887  0.892  |  0.0591   0.0662   0.0754  |  0.0001   0.0001   0.0001 |  20
  sadness Without FC    Without CNN   0.757  0.763  0.770  |   0.711  0.720  0.735  |   0.941  0.949  0.955  |  0.0349   0.0428   0.0553  |  0.0001   0.0001   0.0002 |  20
  sadness Without FC    Without LE    0.757  0.763  0.770  |   0.690  0.699  0.712  |   0.879  0.887  0.894  |  0.0562   0.0647   0.0734  |  0.0001   0.0001   0.0001 |  20
  sadness Without CNN   Without LE    0.711  0.720  0.735  |   0.690  0.699  0.712  |   0.774  0.782  0.796  |  0.0090   0.0219   0.0332  |  0.0885   0.2928   0.6509 |   0
